NC_045733.1	0	50000	16628	17298	50000	0.3459600
NC_045733.1	50000	100000	51107	49767	50000	0.9953400
NC_045733.1	100000	150000	47643	48424	50000	0.9684800
NC_045733.1	150000	200000	44614	45914	50000	0.9182800
NC_045733.1	200000	250000	46663	47075	50000	0.9415000
NC_045733.1	250000	300000	45845	46987	50000	0.9397400
NC_045733.1	300000	350000	44555	44325	50000	0.8865000
NC_045733.1	350000	400000	48630	49118	50000	0.9823600
NC_045733.1	400000	450000	49332	49037	50000	0.9807400
NC_045733.1	450000	500000	49049	48412	50000	0.9682400
NC_045733.1	500000	550000	38555	38518	50000	0.7703600
NC_045733.1	550000	600000	177	432	50000	0.0086400
NC_045733.1	600000	650000	252	650	50000	0.0130000
NC_045733.1	650000	700000	869	1876	50000	0.0375200
NC_045733.1	700000	750000	273	757	50000	0.0151400
NC_045733.1	750000	800000	16125	18154	50000	0.3630800
NC_045733.1	800000	850000	39425	40911	50000	0.8182200
NC_045733.1	850000	900000	33755	36295	50000	0.7259000
NC_045733.1	900000	950000	48554	48913	50000	0.9782600
NC_045733.1	950000	1000000	49731	49335	50000	0.9867000
NC_045733.1	1000000	1050000	48092	48623	50000	0.9724600
NC_045733.1	1050000	1100000	48117	48908	50000	0.9781600
NC_045733.1	1100000	1150000	44125	44795	50000	0.8959000
NC_045733.1	1150000	1200000	48811	48891	50000	0.9778200
NC_045733.1	1200000	1250000	45485	46677	50000	0.9335400
NC_045733.1	1250000	1300000	48558	48734	50000	0.9746800
NC_045733.1	1300000	1350000	49281	48845	50000	0.9769000
NC_045733.1	1350000	1400000	47009	48181	50000	0.9636200
NC_045733.1	1400000	1450000	47256	48069	50000	0.9613800
NC_045733.1	1450000	1500000	45450	46043	50000	0.9208600
NC_045733.1	1500000	1550000	44094	45812	50000	0.9162400
NC_045733.1	1550000	1600000	44205	47373	50000	0.9474600
NC_045733.1	1600000	1650000	45758	47905	50000	0.9581000
NC_045733.1	1650000	1700000	48183	48306	50000	0.9661200
NC_045733.1	1700000	1750000	45523	47790	50000	0.9558000
NC_045733.1	1750000	1800000	45920	46598	50000	0.9319600
NC_045733.1	1800000	1850000	47925	48956	50000	0.9791200
NC_045733.1	1850000	1900000	44732	44489	50000	0.8897800
NC_045733.1	1900000	1950000	46042	46665	50000	0.9333000
NC_045733.1	1950000	2000000	46727	47012	50000	0.9402400
NC_045733.1	2000000	2050000	43923	45795	50000	0.9159000
NC_045733.1	2050000	2100000	47737	48913	50000	0.9782600
NC_045733.1	2100000	2150000	46498	47179	50000	0.9435800
NC_045733.1	2150000	2200000	45030	46893	50000	0.9378600
NC_045733.1	2200000	2250000	36754	39070	50000	0.7814000
NC_045733.1	2250000	2300000	44996	46591	50000	0.9318200
